Datetime,Symbol,Rule,Side,Performance,NumTicks
2020-09-04 11:45:00,JPM,0.2x0.4,1,0.5214995572173642,3
2020-09-04 15:15:00,JPM,0.2x0.4,1,-0.22082473237002853,2
2020-08-27 10:45:00,GS,0.2x0.4,1,0.5486968449931462,2
2020-08-27 11:15:00,GS,0.2x0.4,1,0.08522323753608063,5
2020-08-28 10:45:00,GS,0.2x0.4,1,-0.2080045904461314,2
2020-08-31 10:45:00,GS,0.2x0.4,1,-0.27259893881127484,3
2020-09-02 10:45:00,GS,0.2x0.4,1,0.412568961381643,3
2020-09-03 10:45:00,GS,0.2x0.4,1,-0.3365407403896348,3
2020-09-03 11:15:00,GS,0.2x0.4,1,0.712010040548372,3
2020-09-03 11:45:00,GS,0.2x0.4,1,0.40208702312001243,1
2020-09-03 13:15:00,GS,0.2x0.4,1,0.0819316593570818,5
2020-09-03 13:45:00,GS,0.2x0.4,1,0.014432791301821624,5
2020-09-03 15:15:00,GS,0.2x0.4,1,-0.2707733965137904,1
2020-09-04 10:45:00,GS,0.2x0.4,1,0.5605163544598613,4
2020-09-04 11:15:00,GS,0.2x0.4,1,-0.37269185160087037,2
2020-09-04 11:45:00,GS,0.2x0.4,1,0.4087193460490468,2
2020-09-04 12:15:00,GS,0.2x0.4,1,0.46612727931409914,4
2020-09-04 13:15:00,GS,0.2x0.4,1,0.03377074488613019,5
2020-09-04 14:45:00,GS,0.2x0.4,1,-0.3165603590833954,1
2020-09-04 15:15:00,GS,0.2x0.4,1,-0.25712398565768124,3
2020-08-24 12:45:00,BAC,0.2x0.4,1,-0.21602513747054353,5
2020-08-24 15:15:00,BAC,0.2x0.4,1,0.4316264469295561,4
2020-08-25 10:45:00,BAC,0.2x0.4,1,0.1162565394303483,5
2020-08-25 13:45:00,BAC,0.2x0.4,1,-0.19241870309794074,5
2020-08-26 10:45:00,BAC,0.2x0.4,1,-0.27263875365141077,4
2020-08-27 10:45:00,BAC,0.2x0.4,1,0.4034582132564912,2
2020-08-27 11:15:00,BAC,0.2x0.4,1,0.03838034926118006,5
2020-08-27 15:15:00,BAC,0.2x0.4,1,-0.05746025665581689,5
2020-08-28 11:45:00,BAC,0.2x0.4,1,0.1145694099675465,5
2020-08-31 10:45:00,BAC,0.2x0.4,1,-0.32913843175218505,3
2020-09-02 10:45:00,BAC,0.2x0.4,1,0.522445820433437,4
2020-09-02 11:15:00,BAC,0.2x0.4,1,-0.28901734104046506,2
2020-09-03 10:45:00,BAC,0.2x0.4,1,-0.21072796934865634,3
2020-09-03 11:15:00,BAC,0.2x0.4,1,0.8214355564247988,3
2020-09-03 11:45:00,BAC,0.2x0.4,1,0.3294573643410903,5
2020-09-03 12:15:00,BAC,0.2x0.4,1,-0.23179447556500588,3
2020-09-03 13:15:00,BAC,0.2x0.4,1,-0.07774538386784435,5
2020-09-03 13:45:00,BAC,0.2x0.4,1,0.11675423234092097,5
2020-09-03 15:15:00,BAC,0.2x0.4,1,-0.23451240961501751,1
2020-09-04 10:45:00,BAC,0.2x0.4,1,-0.019275250578265624,5
2020-09-04 12:15:00,BAC,0.2x0.4,1,0.6716561120706288,4
2020-09-04 12:45:00,BAC,0.2x0.4,1,-0.22774720060732,4
2020-09-04 13:15:00,BAC,0.2x0.4,1,-0.20988360999809608,3
2020-09-04 14:15:00,BAC,0.2x0.4,1,0.5685048322910724,5
2020-09-04 14:45:00,BAC,0.2x0.4,1,0.4515522107243708,5
2020-09-04 15:15:00,BAC,0.2x0.4,1,-0.22476119123431282,2
2020-08-25 10:45:00,C,0.2x0.4,1,0.05856515373352522,5
2020-08-25 11:45:00,C,0.2x0.4,1,0.048914106828412685,5
2020-08-25 13:45:00,C,0.2x0.4,1,-0.23246803564509477,5
